"cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
6,5.5,182,12,8.6,5.2,0.1,101940,0
6,2.8,139,12.6,9.3,6.6,2.4,102830,0
7,0.8,98,13.9,9.8,6.9,0.4,101900,0
6,0.1,76,10.9,8,2.1,0.1,101240,0
6,6.7,204,7.5,8.2,5.5,0.1,100820,0
8,0.3,86,8,5.6,3.8,14.2,100280,0
5,7.2,214,10,4.6,1.1,1.4,100480,0
3,9.4,245,9.1,4.6,-0.9,0,100930,0
3,9.9,252,11.1,4.4,-0.3,0.4,101590,0
4,9.1,243,12.4,6.4,1.7,0,102060,0
4,8.8,240,15,6.7,1,0,102340,0
7,5.9,199,16,9.4,3.9,0,102110,0
7,3.2,156,15.6,11.2,6.4,0,101960,0
4,8.4,237,13.6,10,4.5,0,102300,0
8,0.5,97,16.1,10.4,7.3,17.8,102700,0
8,0.1,82,20.8,12.6,9.2,0.4,102230,0
7,4.9,188,23.4,16,11.2,0,103000,0
4,13,301,26.1,17.4,11.5,0,103160,0
2,14.2,311,26.2,18.5,10.9,0,102810,0
3,13.4,308,22.5,19.6,12.9,0,101770,0
6,6.7,219,15.2,17.4,12.4,1.1,100410,0
5,10,266,16,11.8,8.5,0.2,100130,0
4,10.7,276,17.2,12.2,8.3,0,100910,0
1,14.3,303,14,10.9,4.6,0.5,101780,0
7,0,79,15.1,11.2,8.5,15.5,100650,0
6,6.3,216,15.8,11.8,8.4,7.1,100470,0
6,8.7,252,14.3,11.7,7.6,3.9,100790,0
5,6,212,14.6,11.8,9.4,1.3,100440,0
4,10,271,13.4,11,7.3,5.7,100620,0
5,8.5,251,15.5,9.4,5.4,5.6,100560,0
7,0.9,115,15.9,11,6.6,5.6,100080,0
4,3.3,168,15.9,11.3,6.7,0,100520,0
6,1.3,126,18.6,11.6,7.2,4.2,100910,0
7,3.3,169,20.1,15.8,13,0.1,101160,0
7,1.7,136,16.2,16.1,12.1,2,101390,0
7,0.6,108,18.7,13.8,11.5,0,101700,0
6,6.8,230,21.2,13.6,8.4,1.9,102750,0
7,5.9,216,19.2,16.4,11.5,0,102760,0
8,2,145,19.3,15,10.8,0,102290,0
7,0,80,20.4,15.9,12.5,0,101790,0
6,6.2,222,16.7,16.5,12.6,0,101830,0
5,7.3,239,14.4,12.5,8.3,0,101870,0
5,2.5,157,17.2,12,9.5,5.7,101790,0
6,3.8,182,18.7,12.2,7.3,0,101740,0
7,0.3,98,17.9,15.4,12.2,0,101720,0
7,2.5,157,16.2,15,12.1,4,101930,0
